,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
68,2019/12/23,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,29,0,0,0,2019/12/23
69,2019/12/24,ä¸_,CN,,,,,30,0,0,0,2019/12/24
70,2019/12/24,ä¸_,CN,æ¹___,420000,,,30,0,0,0,2019/12/24
71,2019/12/24,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,30,0,0,0,2019/12/24
72,2019/12/25,ä¸_,CN,,,,,33,0,0,0,2019/12/25
73,2019/12/25,ä¸_,CN,æ¹___,420000,,,33,0,0,0,2019/12/25
74,2019/12/25,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,33,0,0,0,2019/12/25
75,2019/12/26,ä¸_,CN,,,,,35,0,0,0,2019/12/26
76,2019/12/26,ä¸_,CN,æ¹___,420000,,,35,0,0,0,2019/12/26
77,2019/12/26,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,35,0,0,0,2019/12/26
78,2019/12/27,ä¸_,CN,,,,,37,0,0,0,2019/12/27
79,2019/12/27,ä¸_,CN,æ¹___,420000,,,37,0,0,0,2019/12/27
80,2019/12/27,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,37,0,0,0,2019/12/27
81,2019/12/28,ä¸_,CN,,,,,37,0,0,0,2019/12/28
82,2019/12/28,ä¸_,CN,æ¹___,420000,,,37,0,0,0,2019/12/28
83,2019/12/28,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,37,0,0,0,2019/12/28
84,2019/12/29,ä¸_,CN,,,,,37,0,0,0,2019/12/29
85,2019/12/29,ä¸_,CN,æ¹___,420000,,,37,0,0,0,2019/12/29
86,2019/12/29,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,37,0,0,0,2019/12/29
87,2019/12/30,ä¸_,CN,,,,,37,0,0,0,2019/12/30
88,2019/12/30,ä¸_,CN,æ¹___,420000,,,37,0,0,0,2019/12/30
89,2019/12/30,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,37,0,0,0,2019/12/30
90,2019/12/31,ä¸_,CN,,,,,40,0,0,0,2019/12/31
91,2019/12/31,ä¸_,CN,æ¹___,420000,,,40,0,0,0,2019/12/31
92,2019/12/31,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,40,0,0,0,2019/12/31
93,2020/1/1,ä¸_,CN,,,,,43,0,0,0,2020/1/1
94,2020/1/1,ä¸_,CN,æ¹___,420000,,,43,0,0,0,2020/1/1
95,2020/1/1,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,43,0,0,0,2020/1/1
96,2020/1/2,ä¸_,CN,,,,,44,0,0,0,2020/1/2
97,2020/1/2,ä¸_,CN,æ¹___,420000,,,44,0,0,0,2020/1/2
98,2020/1/2,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,44,0,0,0,2020/1/2
99,2020/1/3,ä¸_,CN,,,,,41,0,0,0,2020/1/3
100,2020/1/3,ä¸_,CN,æ¹___,420000,,,41,0,0,0,2020/1/3
101,2020/1/3,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,0,0,2020/1/3
102,2020/1/4,ä¸_,CN,,,,,41,0,0,0,2020/1/4
103,2020/1/4,ä¸_,CN,æ¹___,420000,,,41,0,0,0,2020/1/4
104,2020/1/4,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,0,0,2020/1/4
105,2020/1/5,ä¸_,CN,,,,,41,0,0,0,2020/1/5
106,2020/1/5,ä¸_,CN,æ¹___,420000,,,41,0,0,0,2020/1/5
107,2020/1/5,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,0,0,2020/1/5
108,2020/1/6,ä¸_,CN,,,,,41,0,0,0,2020/1/6
109,2020/1/6,ä¸_,CN,æ¹___,420000,,,41,0,0,0,2020/1/6
